AgeGroup,IncomeBracket,InitialProductInterest,ConversionProbability
Mid-Age (30–50),80K-120K,Mortgage,0.957
Senior (50+),40K-80K,Credit Card,0.479
Young (<30),80K-120K,Credit Card,0.656
Senior (50+),80K-120K,Mortgage,0.562
Senior (50+),40K-80K,Mortgage,0.68
Mid-Age (30–50),120K–200K,Credit Card,0.788
Senior (50+),40K-80K,Mortgage,0.847
Young (<30),<40K,Mortgage,0.389
Mid-Age (30–50),80K-120K,Investment,0.538
Mid-Age (30–50),40K-80K,Credit Card,0.676
Mid-Age (30–50),40K-80K,Credit Card,0.688
Mid-Age (30–50),40K-80K,Mortgage,0.786
Mid-Age (30–50),80K-120K,Investment,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.861
Mid-Age (30–50),120K–200K,Credit Card,1.0
Senior (50+),40K-80K,Credit Card,0.776
Young (<30),40K-80K,Mortgage,0.934
Senior (50+),40K-80K,Mortgage,0.706
Young (<30),40K-80K,Investment,0.339
Mid-Age (30–50),80K-120K,Credit Card,0.71
Senior (50+),40K-80K,Credit Card,0.263
Mid-Age (30–50),40K-80K,Investment,0.458
Mid-Age (30–50),40K-80K,Mortgage,0.771
Senior (50+),80K-120K,Credit Card,0.858
Senior (50+),<40K,Credit Card,0.531
Mid-Age (30–50),80K-120K,Credit Card,0.731
Senior (50+),40K-80K,Credit Card,0.44
Senior (50+),<40K,Mortgage,0.426
Senior (50+),40K-80K,Chequing Account,0.645
Senior (50+),80K-120K,Chequing Account,0.651
Young (<30),80K-120K,Chequing Account,1.0
Young (<30),40K-80K,Chequing Account,0.224
Young (<30),40K-80K,Chequing Account,0.65
Mid-Age (30–50),80K-120K,Credit Card,0.991
Young (<30),80K-120K,Chequing Account,1.0
Young (<30),40K-80K,Mortgage,0.792
Young (<30),40K-80K,Mortgage,0.732
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.608
Mid-Age (30–50),40K-80K,Mortgage,0.753
Mid-Age (30–50),40K-80K,Investment,0.769
Mid-Age (30–50),40K-80K,Mortgage,0.872
Mid-Age (30–50),80K-120K,Credit Card,0.801
Senior (50+),40K-80K,Chequing Account,0.572
Young (<30),40K-80K,Mortgage,0.493
Young (<30),<40K,Mortgage,0.661
Senior (50+),80K-120K,Credit Card,0.592
Senior (50+),40K-80K,Chequing Account,0.803
Young (<30),40K-80K,Investment,0.849
Mid-Age (30–50),40K-80K,Chequing Account,0.79
Mid-Age (30–50),40K-80K,Investment,0.68
Senior (50+),80K-120K,Chequing Account,0.777
Mid-Age (30–50),120K–200K,Chequing Account,0.926
Mid-Age (30–50),80K-120K,Mortgage,1.0
Senior (50+),40K-80K,Credit Card,0.86
Mid-Age (30–50),40K-80K,Mortgage,0.848
Mid-Age (30–50),40K-80K,Mortgage,0.419
Mid-Age (30–50),<40K,Chequing Account,0.386
Senior (50+),40K-80K,Mortgage,0.966
Senior (50+),80K-120K,Mortgage,0.59
Senior (50+),40K-80K,Mortgage,0.721
Mid-Age (30–50),80K-120K,Mortgage,0.549
Mid-Age (30–50),<40K,Credit Card,0.637
Young (<30),<40K,Mortgage,0.36
Young (<30),80K-120K,Chequing Account,0.83
Young (<30),40K-80K,Chequing Account,0.679
Young (<30),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.514
Mid-Age (30–50),40K-80K,Mortgage,0.692
Young (<30),40K-80K,Mortgage,0.721
Young (<30),80K-120K,Chequing Account,0.629
Mid-Age (30–50),80K-120K,Mortgage,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.534
Mid-Age (30–50),40K-80K,Mortgage,0.675
Mid-Age (30–50),80K-120K,Credit Card,0.959
Young (<30),80K-120K,Mortgage,0.608
Senior (50+),40K-80K,Mortgage,0.464
Mid-Age (30–50),80K-120K,Credit Card,0.902
Mid-Age (30–50),40K-80K,Credit Card,0.579
Mid-Age (30–50),40K-80K,Credit Card,0.628
Mid-Age (30–50),<40K,Mortgage,0.383
Senior (50+),40K-80K,Credit Card,0.887
Mid-Age (30–50),40K-80K,Credit Card,0.876
Senior (50+),80K-120K,Credit Card,0.68
Young (<30),40K-80K,Chequing Account,0.727
Mid-Age (30–50),80K-120K,Investment,1.0
Young (<30),<40K,Chequing Account,0.418
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Investment,0.835
Senior (50+),40K-80K,Mortgage,0.401
Senior (50+),40K-80K,Chequing Account,0.793
Mid-Age (30–50),<40K,Chequing Account,0.408
Mid-Age (30–50),40K-80K,Credit Card,0.624
Mid-Age (30–50),120K–200K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Mortgage,0.765
Mid-Age (30–50),40K-80K,Mortgage,0.878
Young (<30),80K-120K,Investment,1.0
Senior (50+),40K-80K,Chequing Account,0.488
Young (<30),80K-120K,Chequing Account,1.0
Young (<30),<40K,Mortgage,0.648
Senior (50+),40K-80K,Chequing Account,0.492
Senior (50+),80K-120K,Credit Card,0.899
Young (<30),<40K,Chequing Account,0.486
Mid-Age (30–50),40K-80K,Credit Card,0.344
Mid-Age (30–50),<40K,Chequing Account,0.452
Mid-Age (30–50),40K-80K,Mortgage,0.751
Young (<30),40K-80K,Chequing Account,0.666
Mid-Age (30–50),<40K,Credit Card,0.333
Senior (50+),40K-80K,Credit Card,0.832
Senior (50+),80K-120K,Chequing Account,0.641
Young (<30),40K-80K,Credit Card,0.486
Mid-Age (30–50),40K-80K,Mortgage,0.597
Young (<30),80K-120K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.899
Young (<30),<40K,Credit Card,0.815
Mid-Age (30–50),40K-80K,Mortgage,0.814
Senior (50+),40K-80K,Credit Card,0.627
Mid-Age (30–50),40K-80K,Credit Card,0.564
Senior (50+),120K–200K,Mortgage,1.0
Senior (50+),80K-120K,Investment,0.634
Mid-Age (30–50),40K-80K,Credit Card,0.419
Senior (50+),40K-80K,Chequing Account,0.871
Senior (50+),40K-80K,Credit Card,0.783
Mid-Age (30–50),40K-80K,Credit Card,0.566
Young (<30),40K-80K,Mortgage,0.814
Mid-Age (30–50),120K–200K,Mortgage,0.851
Senior (50+),<40K,Credit Card,0.604
Mid-Age (30–50),40K-80K,Chequing Account,0.593
Mid-Age (30–50),120K–200K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Credit Card,1.0
Young (<30),80K-120K,Chequing Account,0.755
Mid-Age (30–50),40K-80K,Credit Card,0.516
Young (<30),80K-120K,Credit Card,1.0
Senior (50+),80K-120K,Mortgage,0.528
Young (<30),80K-120K,Credit Card,0.971
Young (<30),80K-120K,Credit Card,0.806
Mid-Age (30–50),40K-80K,Investment,0.759
Mid-Age (30–50),120K–200K,Mortgage,0.986
Mid-Age (30–50),40K-80K,Investment,0.702
Senior (50+),40K-80K,Mortgage,0.674
Senior (50+),80K-120K,Credit Card,0.826
Mid-Age (30–50),80K-120K,Credit Card,0.687
Senior (50+),40K-80K,Mortgage,0.582
Senior (50+),40K-80K,Investment,0.572
Mid-Age (30–50),80K-120K,Credit Card,0.738
Young (<30),40K-80K,Mortgage,0.755
Senior (50+),80K-120K,Investment,0.901
Senior (50+),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.518
Senior (50+),40K-80K,Investment,0.781
Senior (50+),80K-120K,Investment,0.805
Mid-Age (30–50),80K-120K,Credit Card,0.875
Senior (50+),40K-80K,Investment,0.963
Mid-Age (30–50),40K-80K,Investment,0.568
Mid-Age (30–50),<40K,Mortgage,0.365
Young (<30),80K-120K,Credit Card,0.744
Mid-Age (30–50),80K-120K,Chequing Account,0.964
Senior (50+),<40K,Credit Card,0.214
Senior (50+),80K-120K,Mortgage,0.708
Mid-Age (30–50),40K-80K,Credit Card,0.883
Mid-Age (30–50),80K-120K,Chequing Account,0.639
Mid-Age (30–50),80K-120K,Mortgage,0.71
Senior (50+),40K-80K,Mortgage,0.822
Young (<30),40K-80K,Mortgage,0.636
Mid-Age (30–50),40K-80K,Chequing Account,0.816
Mid-Age (30–50),40K-80K,Credit Card,0.661
Mid-Age (30–50),<40K,Mortgage,0.466
Young (<30),40K-80K,Investment,0.567
Young (<30),80K-120K,Chequing Account,1.0
Senior (50+),40K-80K,Mortgage,0.627
Young (<30),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.698
Mid-Age (30–50),80K-120K,Credit Card,0.99
Young (<30),40K-80K,Chequing Account,0.865
Young (<30),120K–200K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.79
Senior (50+),40K-80K,Chequing Account,0.765
Young (<30),40K-80K,Chequing Account,0.575
Senior (50+),<40K,Investment,0.399
Young (<30),40K-80K,Investment,0.8
Mid-Age (30–50),80K-120K,Chequing Account,0.745
Young (<30),80K-120K,Investment,0.885
Senior (50+),80K-120K,Credit Card,0.953
Young (<30),40K-80K,Chequing Account,1.0
Senior (50+),80K-120K,Investment,1.0
Senior (50+),40K-80K,Mortgage,0.703
Mid-Age (30–50),40K-80K,Investment,0.327
Senior (50+),80K-120K,Investment,0.781
Mid-Age (30–50),80K-120K,Credit Card,1.0
Young (<30),80K-120K,Chequing Account,0.731
Mid-Age (30–50),40K-80K,Credit Card,0.698
Senior (50+),80K-120K,Chequing Account,0.822
Mid-Age (30–50),<40K,Credit Card,0.3
Mid-Age (30–50),80K-120K,Chequing Account,0.759
Senior (50+),40K-80K,Mortgage,0.573
Senior (50+),80K-120K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Mortgage,0.612
Mid-Age (30–50),40K-80K,Mortgage,0.71
Young (<30),40K-80K,Investment,0.9
Senior (50+),<40K,Credit Card,0.551
Mid-Age (30–50),40K-80K,Credit Card,0.629
Mid-Age (30–50),40K-80K,Credit Card,0.527
Senior (50+),40K-80K,Chequing Account,0.802
Young (<30),120K–200K,Credit Card,1.0
Senior (50+),40K-80K,Investment,0.593
Young (<30),40K-80K,Investment,0.826
Young (<30),80K-120K,Credit Card,0.829
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.55
Mid-Age (30–50),40K-80K,Chequing Account,0.841
Mid-Age (30–50),80K-120K,Mortgage,0.947
Senior (50+),80K-120K,Investment,0.765
Senior (50+),120K–200K,Credit Card,0.998
Senior (50+),<40K,Credit Card,0.257
Senior (50+),80K-120K,Investment,0.757
Mid-Age (30–50),80K-120K,Chequing Account,0.928
Senior (50+),40K-80K,Investment,0.55
Senior (50+),80K-120K,Credit Card,0.64
Senior (50+),40K-80K,Chequing Account,0.756
Senior (50+),80K-120K,Mortgage,0.712
Mid-Age (30–50),40K-80K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.827
Young (<30),40K-80K,Credit Card,0.528
Mid-Age (30–50),40K-80K,Investment,0.545
Young (<30),80K-120K,Chequing Account,0.932
Senior (50+),40K-80K,Chequing Account,0.548
Senior (50+),40K-80K,Mortgage,0.838
Mid-Age (30–50),80K-120K,Credit Card,0.836
Young (<30),80K-120K,Mortgage,0.593
Mid-Age (30–50),40K-80K,Credit Card,0.982
Mid-Age (30–50),40K-80K,Credit Card,0.628
Senior (50+),80K-120K,Credit Card,0.709
Mid-Age (30–50),40K-80K,Mortgage,0.612
Mid-Age (30–50),<40K,Credit Card,0.701
Mid-Age (30–50),40K-80K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.808
Young (<30),80K-120K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.799
Young (<30),120K–200K,Credit Card,1.0
Senior (50+),40K-80K,Credit Card,0.922
Senior (50+),40K-80K,Mortgage,0.886
Young (<30),<40K,Mortgage,0.8
Young (<30),40K-80K,Chequing Account,0.539
Young (<30),<40K,Chequing Account,0.361
Mid-Age (30–50),80K-120K,Chequing Account,0.785
Young (<30),40K-80K,Credit Card,0.926
Senior (50+),40K-80K,Investment,0.748
Senior (50+),80K-120K,Investment,0.998
Young (<30),40K-80K,Credit Card,0.645
Mid-Age (30–50),40K-80K,Chequing Account,0.643
Young (<30),40K-80K,Chequing Account,0.941
Young (<30),80K-120K,Chequing Account,0.609
Mid-Age (30–50),80K-120K,Credit Card,0.725
Mid-Age (30–50),120K–200K,Investment,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.718
Young (<30),80K-120K,Chequing Account,0.868
Mid-Age (30–50),40K-80K,Chequing Account,0.389
Mid-Age (30–50),40K-80K,Mortgage,0.659
Young (<30),40K-80K,Credit Card,0.877
Senior (50+),40K-80K,Credit Card,0.874
Senior (50+),40K-80K,Credit Card,0.461
Mid-Age (30–50),40K-80K,Mortgage,0.77
Mid-Age (30–50),80K-120K,Mortgage,0.955
Senior (50+),80K-120K,Credit Card,0.682
Senior (50+),120K–200K,Mortgage,0.944
Mid-Age (30–50),80K-120K,Chequing Account,0.601
Young (<30),80K-120K,Investment,0.783
Mid-Age (30–50),40K-80K,Investment,0.764
Mid-Age (30–50),80K-120K,Credit Card,0.923
Senior (50+),40K-80K,Investment,0.615
Mid-Age (30–50),80K-120K,Chequing Account,0.825
Young (<30),80K-120K,Chequing Account,0.806
Mid-Age (30–50),80K-120K,Mortgage,0.764
Young (<30),40K-80K,Credit Card,0.546
Senior (50+),40K-80K,Mortgage,0.855
Senior (50+),<40K,Credit Card,0.621
Senior (50+),40K-80K,Credit Card,0.487
Mid-Age (30–50),40K-80K,Mortgage,0.406
Mid-Age (30–50),40K-80K,Mortgage,0.802
Mid-Age (30–50),40K-80K,Chequing Account,0.896
Mid-Age (30–50),120K–200K,Credit Card,1.0
Senior (50+),80K-120K,Mortgage,0.826
Senior (50+),80K-120K,Credit Card,0.975
Senior (50+),40K-80K,Chequing Account,0.556
Young (<30),40K-80K,Credit Card,0.699
Young (<30),40K-80K,Credit Card,0.527
Young (<30),40K-80K,Credit Card,0.545
Senior (50+),40K-80K,Chequing Account,0.571
Mid-Age (30–50),80K-120K,Mortgage,0.497
Senior (50+),80K-120K,Mortgage,0.812
Mid-Age (30–50),40K-80K,Chequing Account,0.888
Mid-Age (30–50),<40K,Investment,0.328
Mid-Age (30–50),40K-80K,Investment,0.859
Mid-Age (30–50),40K-80K,Investment,0.818
Young (<30),40K-80K,Chequing Account,0.357
Mid-Age (30–50),40K-80K,Investment,0.721
Senior (50+),80K-120K,Credit Card,1.0
Senior (50+),40K-80K,Chequing Account,0.935
Senior (50+),80K-120K,Credit Card,0.945
Senior (50+),40K-80K,Chequing Account,0.461
Young (<30),80K-120K,Credit Card,1.0
Senior (50+),<40K,Chequing Account,0.828
Senior (50+),80K-120K,Credit Card,0.988
Mid-Age (30–50),40K-80K,Credit Card,0.514
Senior (50+),80K-120K,Mortgage,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.526
Senior (50+),80K-120K,Credit Card,0.752
Mid-Age (30–50),40K-80K,Credit Card,0.846
Mid-Age (30–50),80K-120K,Credit Card,0.592
Young (<30),40K-80K,Investment,1.0
Senior (50+),<40K,Investment,0.374
Young (<30),80K-120K,Credit Card,1.0
Young (<30),40K-80K,Credit Card,0.775
Mid-Age (30–50),80K-120K,Credit Card,0.992
Young (<30),80K-120K,Investment,0.908
Senior (50+),80K-120K,Credit Card,0.905
Senior (50+),40K-80K,Credit Card,0.733
Senior (50+),80K-120K,Credit Card,0.827
Senior (50+),80K-120K,Chequing Account,0.721
Mid-Age (30–50),80K-120K,Credit Card,0.757
Young (<30),80K-120K,Chequing Account,0.892
Mid-Age (30–50),80K-120K,Credit Card,0.758
Mid-Age (30–50),40K-80K,Chequing Account,0.652
Mid-Age (30–50),40K-80K,Credit Card,0.656
Young (<30),40K-80K,Credit Card,0.632
Young (<30),80K-120K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Mortgage,0.571
Mid-Age (30–50),40K-80K,Chequing Account,0.801
Mid-Age (30–50),40K-80K,Chequing Account,0.64
Mid-Age (30–50),40K-80K,Chequing Account,0.522
Young (<30),40K-80K,Chequing Account,0.665
Mid-Age (30–50),40K-80K,Chequing Account,0.757
Mid-Age (30–50),40K-80K,Chequing Account,0.782
Mid-Age (30–50),40K-80K,Credit Card,0.942
Mid-Age (30–50),40K-80K,Chequing Account,0.668
Young (<30),40K-80K,Credit Card,0.574
Mid-Age (30–50),80K-120K,Mortgage,0.696
Senior (50+),<40K,Investment,0.531
Young (<30),40K-80K,Investment,0.865
Senior (50+),80K-120K,Mortgage,0.94
Young (<30),40K-80K,Mortgage,0.62
Mid-Age (30–50),80K-120K,Credit Card,0.813
Young (<30),<40K,Mortgage,0.314
Mid-Age (30–50),<40K,Investment,0.796
Young (<30),40K-80K,Investment,0.65
Mid-Age (30–50),40K-80K,Mortgage,0.567
Young (<30),80K-120K,Mortgage,0.935
Mid-Age (30–50),80K-120K,Chequing Account,0.761
Mid-Age (30–50),120K–200K,Investment,0.825
Young (<30),80K-120K,Mortgage,1.0
Young (<30),40K-80K,Credit Card,0.553
Senior (50+),80K-120K,Chequing Account,0.647
Senior (50+),40K-80K,Chequing Account,0.638
Mid-Age (30–50),40K-80K,Chequing Account,0.379
Young (<30),80K-120K,Credit Card,0.984
Mid-Age (30–50),80K-120K,Investment,0.631
Mid-Age (30–50),40K-80K,Chequing Account,0.743
Mid-Age (30–50),80K-120K,Credit Card,0.76
Mid-Age (30–50),40K-80K,Chequing Account,0.702
Senior (50+),120K–200K,Investment,0.854
Senior (50+),40K-80K,Mortgage,0.55
Mid-Age (30–50),<40K,Chequing Account,0.398
Senior (50+),120K–200K,Chequing Account,1.0
Senior (50+),80K-120K,Credit Card,0.814
Senior (50+),80K-120K,Credit Card,0.654
Senior (50+),<40K,Mortgage,0.736
Senior (50+),<40K,Credit Card,0.571
Young (<30),80K-120K,Chequing Account,1.0
Senior (50+),80K-120K,Mortgage,0.985
Senior (50+),<40K,Mortgage,0.662
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.575
Mid-Age (30–50),40K-80K,Credit Card,0.394
Young (<30),40K-80K,Mortgage,0.511
Young (<30),120K–200K,Credit Card,0.967
Young (<30),40K-80K,Chequing Account,0.802
Mid-Age (30–50),<40K,Chequing Account,0.403
Senior (50+),40K-80K,Investment,0.889
Young (<30),<40K,Chequing Account,0.515
Mid-Age (30–50),40K-80K,Credit Card,0.623
Senior (50+),<40K,Credit Card,0.731
Senior (50+),40K-80K,Credit Card,0.523
Senior (50+),80K-120K,Credit Card,0.682
Young (<30),<40K,Investment,0.571
Mid-Age (30–50),40K-80K,Credit Card,0.727
Senior (50+),80K-120K,Mortgage,0.97
Young (<30),40K-80K,Chequing Account,0.683
Mid-Age (30–50),80K-120K,Chequing Account,0.51
Senior (50+),80K-120K,Credit Card,0.834
Young (<30),40K-80K,Chequing Account,0.66
Senior (50+),80K-120K,Credit Card,0.775
Mid-Age (30–50),80K-120K,Investment,0.53
Mid-Age (30–50),40K-80K,Chequing Account,0.534
Senior (50+),80K-120K,Credit Card,0.667
Mid-Age (30–50),<40K,Credit Card,0.613
Mid-Age (30–50),<40K,Credit Card,0.64
Senior (50+),80K-120K,Investment,0.748
Mid-Age (30–50),40K-80K,Chequing Account,0.644
Senior (50+),80K-120K,Chequing Account,0.689
Mid-Age (30–50),40K-80K,Chequing Account,0.528
Mid-Age (30–50),80K-120K,Investment,0.894
Young (<30),80K-120K,Mortgage,0.683
Senior (50+),<40K,Mortgage,0.469
Mid-Age (30–50),80K-120K,Mortgage,1.0
Senior (50+),80K-120K,Chequing Account,0.962
Young (<30),80K-120K,Credit Card,0.733
Mid-Age (30–50),<40K,Credit Card,0.408
Mid-Age (30–50),40K-80K,Credit Card,0.952
Mid-Age (30–50),80K-120K,Chequing Account,0.773
Senior (50+),80K-120K,Credit Card,0.871
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.683
Senior (50+),40K-80K,Credit Card,0.558
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.598
Mid-Age (30–50),40K-80K,Credit Card,0.799
Mid-Age (30–50),120K–200K,Chequing Account,0.999
Young (<30),120K–200K,Mortgage,1.0
Young (<30),40K-80K,Chequing Account,0.659
Mid-Age (30–50),<40K,Credit Card,0.334
Mid-Age (30–50),40K-80K,Investment,0.46
Mid-Age (30–50),40K-80K,Chequing Account,0.318
Senior (50+),<40K,Credit Card,0.49
Mid-Age (30–50),40K-80K,Investment,0.547
Mid-Age (30–50),40K-80K,Mortgage,0.536
Mid-Age (30–50),80K-120K,Credit Card,0.803
Young (<30),<40K,Chequing Account,0.668
Senior (50+),80K-120K,Chequing Account,0.724
Mid-Age (30–50),40K-80K,Credit Card,0.768
Senior (50+),80K-120K,Chequing Account,0.901
Mid-Age (30–50),40K-80K,Chequing Account,0.652
Mid-Age (30–50),40K-80K,Investment,0.884
Senior (50+),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.892
Young (<30),<40K,Mortgage,0.518
Senior (50+),40K-80K,Mortgage,0.899
Mid-Age (30–50),40K-80K,Chequing Account,0.726
Senior (50+),80K-120K,Chequing Account,0.775
Mid-Age (30–50),40K-80K,Credit Card,0.529
Senior (50+),40K-80K,Credit Card,0.91
Senior (50+),80K-120K,Investment,0.933
Mid-Age (30–50),120K–200K,Mortgage,0.765
Senior (50+),40K-80K,Investment,0.785
Mid-Age (30–50),40K-80K,Investment,0.748
Young (<30),40K-80K,Chequing Account,0.924
Senior (50+),80K-120K,Credit Card,0.699
Senior (50+),40K-80K,Credit Card,0.821
Mid-Age (30–50),80K-120K,Credit Card,0.99
Senior (50+),40K-80K,Chequing Account,0.774
Mid-Age (30–50),80K-120K,Chequing Account,0.776
Young (<30),40K-80K,Credit Card,0.54
Senior (50+),120K–200K,Investment,0.926
Mid-Age (30–50),120K–200K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Mortgage,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.807
Senior (50+),40K-80K,Investment,0.583
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.752
Young (<30),40K-80K,Credit Card,0.619
Young (<30),40K-80K,Credit Card,0.6
Young (<30),40K-80K,Chequing Account,0.542
Mid-Age (30–50),80K-120K,Mortgage,0.917
Young (<30),40K-80K,Chequing Account,0.772
Senior (50+),40K-80K,Chequing Account,0.824
Mid-Age (30–50),40K-80K,Investment,0.761
Senior (50+),40K-80K,Chequing Account,0.733
Senior (50+),80K-120K,Chequing Account,0.645
Mid-Age (30–50),40K-80K,Investment,0.62
Senior (50+),40K-80K,Credit Card,0.737
Mid-Age (30–50),40K-80K,Credit Card,0.548
Mid-Age (30–50),80K-120K,Chequing Account,0.802
Senior (50+),80K-120K,Credit Card,0.83
Young (<30),40K-80K,Chequing Account,0.539
Senior (50+),40K-80K,Chequing Account,0.871
Senior (50+),80K-120K,Investment,0.488
Senior (50+),<40K,Chequing Account,0.373
Senior (50+),80K-120K,Credit Card,0.834
Mid-Age (30–50),80K-120K,Credit Card,0.864
Mid-Age (30–50),80K-120K,Credit Card,0.936
Mid-Age (30–50),<40K,Credit Card,0.739
Young (<30),40K-80K,Chequing Account,0.49
Senior (50+),40K-80K,Credit Card,0.544
Mid-Age (30–50),40K-80K,Investment,0.399
Senior (50+),40K-80K,Mortgage,0.651
Senior (50+),80K-120K,Mortgage,0.878
Young (<30),40K-80K,Investment,0.68
Mid-Age (30–50),40K-80K,Chequing Account,0.716
Young (<30),80K-120K,Investment,0.705
Mid-Age (30–50),<40K,Investment,0.255
Senior (50+),40K-80K,Credit Card,0.642
Young (<30),40K-80K,Mortgage,0.85
Mid-Age (30–50),80K-120K,Chequing Account,0.767
Young (<30),40K-80K,Investment,0.508
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Investment,0.564
Mid-Age (30–50),80K-120K,Credit Card,0.787
Mid-Age (30–50),80K-120K,Mortgage,1.0
Senior (50+),40K-80K,Chequing Account,0.918
Senior (50+),40K-80K,Chequing Account,0.497
Mid-Age (30–50),40K-80K,Credit Card,0.947
Young (<30),40K-80K,Credit Card,0.801
Mid-Age (30–50),40K-80K,Chequing Account,0.33
Senior (50+),40K-80K,Chequing Account,0.746
Mid-Age (30–50),40K-80K,Mortgage,0.344
Senior (50+),40K-80K,Chequing Account,0.87
Young (<30),40K-80K,Investment,0.942
Senior (50+),<40K,Credit Card,0.477
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.864
Senior (50+),40K-80K,Chequing Account,0.556
Senior (50+),80K-120K,Credit Card,0.898
Senior (50+),40K-80K,Mortgage,0.739
Young (<30),<40K,Mortgage,0.44
Mid-Age (30–50),40K-80K,Investment,0.634
Senior (50+),40K-80K,Credit Card,0.721
Senior (50+),80K-120K,Mortgage,0.747
Young (<30),80K-120K,Chequing Account,0.866
Senior (50+),80K-120K,Chequing Account,0.985
Young (<30),40K-80K,Chequing Account,0.659
Senior (50+),120K–200K,Mortgage,1.0
Mid-Age (30–50),40K-80K,Investment,0.648
Senior (50+),40K-80K,Mortgage,0.918
Young (<30),80K-120K,Credit Card,0.77
Young (<30),40K-80K,Mortgage,0.438
Senior (50+),<40K,Mortgage,0.501
