LeadID,LeadSource,Age,Gender,EmploymentStatus,Income,MaritalStatus,Province,InitialProductInterest,WebsiteVisits_PreConversion,TimeOnWebsite_Minutes,EmailOpenedCount,DaysSinceInquiry,CallCenterInquiries,BranchVisits,ReferrerCustomer,HasExistingProducts,FirstContactChannel,ConversionProbability,ConversionClass,ConvertedFlag,FirstProductTaken,FirstTransactionAmount,MonthlyRevenue,TenureMonths,CLTV
L00037,Referral,19,Female,,57609.89,Single,British Columbia,Mortgage,3,13.13,0,10,2,0,0,1,Call,0.861,High,1,Mortgage,9382,145.29,33,4794.72
L00038,Online Ad,48,Male,Student,107680.67,Single,Ontario,Credit Card,6,26.58,7,48,2,2,0,1,Website,0.871,High,1,Credit Card,9369,219.8,56,12309.03
L00039,Branch Walk-in,36,Female,Student,81883.78,Divorced,Quebec,Mortgage,6,23.45,4,3,2,0,0,1,Email,0.748,High,1,Mortgage,2942,230.62,21,4843.06
L00040,Referral,49,Female,Full-time,71066.95,Single,Nova Scotia,Mortgage,0,7.75,3,38,2,1,1,0,Email,0.824,High,1,Mortgage,6118,95.03,1,95.03
L00041,Online Ad,45,Other,Student,57849.65,Married,Manitoba,Chequing Account,4,20.45,7,95,0,0,0,0,Email,0.383,Medium,0,nan,0,0.0,0,0.0
L00042,Branch Walk-in,58,Male,Part-time,66808.07,Divorced,Quebec,Mortgage,0,2.66,6,90,0,1,0,1,Call,0.696,High,0,nan,0,0.0,0,0.0
L00043,Online Ad,25,Male,Self-employed,107848.38,Single,Nova Scotia,Chequing Account,5,12.25,4,30,2,0,0,0,Website,0.677,High,0,nan,0,0.0,0,0.0
L00044,Partnership,59,Male,Self-employed,74570.63,Single,Ontario,Investment,2,20.22,2,27,1,1,0,0,Email,0.533,Medium,0,nan,0,0.0,0,0.0
L00045,Referral,58,Female,Unemployed,73696.45,Married,Ontario,Chequing Account,5,17.12,0,89,2,0,0,0,Email,0.766,High,0,nan,0,0.0,0,0.0
L00046,Branch Walk-in,57,Male,Full-time,29471.34,Single,Alberta,Mortgage,3,3.82,1,55,5,2,1,1,Call,0.762,High,1,Mortgage,7920,170.77,53,9050.88
L00047,Referral,56,Male,Full-time,70233.52,Single,British Columbia,Investment,0,12.9,9,47,0,0,0,0,Call,0.993,High,1,Investment,7973,265.32,16,4245.19
L00048,Branch Walk-in,39,Female,Part-time,73611.62,Single,Quebec,Chequing Account,1,24.77,9,75,1,1,0,0,Website,0.782,High,1,Chequing Account,2047,114.31,28,3200.68
L00049,Branch Walk-in,41,Male,,83073.53,Single,Alberta,Mortgage,1,12.73,0,117,0,0,0,0,Email,0.957,High,0,nan,0,0.0,0,0.0
L00050,Online Ad,55,Female,Student,65148.46,Single,Nova Scotia,Credit Card,4,28.42,5,21,1,2,0,0,Email,0.479,Medium,0,nan,0,0.0,0,0.0
L00051,Partnership,19,Female,Self-employed,85623.42,Single,,Credit Card,3,17.3,7,77,2,0,1,1,Email,0.656,High,0,nan,0,0.0,0,0.0
L00052,Social Media,58,Male,Student,92139.58,Married,Quebec,Mortgage,3,1.31,0,66,0,2,0,0,Email,0.562,Medium,0,nan,0,0.0,0,0.0
L00053,Partnership,58,Female,Full-time,57950.37,Married,British Columbia,Mortgage,4,26.24,8,14,3,0,0,0,Email,0.68,High,1,Mortgage,8555,73.38,31,2274.66
L00054,Partnership,36,Female,Part-time,120048.53,Married,Quebec,Credit Card,4,24.24,6,102,0,1,0,0,Email,0.788,High,1,Credit Card,3847,253.28,58,14690.09
L00055,Branch Walk-in,58,Male,Full-time,51989.62,Divorced,British Columbia,Mortgage,4,7.23,8,92,2,1,0,0,Call,0.847,High,1,Mortgage,2339,199.67,56,11181.31
L00056,Partnership,19,Male,Student,31632.25,Single,British Columbia,Mortgage,3,15.33,0,81,2,1,0,0,Website,0.389,Medium,1,Mortgage,4355,74.37,44,3272.18
L00057,Online Ad,45,Female,Unemployed,89420.64,Single,Nova Scotia,Investment,2,9.2,7,36,2,0,0,0,Call,0.538,Medium,1,Investment,6291,161.06,32,5153.92
L00058,Online Ad,49,Male,Full-time,78275.22,Married,Quebec,Credit Card,1,17.93,1,17,1,0,1,0,Website,0.676,High,1,Credit Card,3115,120.32,48,5775.13
L00059,Online Ad,36,Female,Part-time,,Single,Alberta,Credit Card,3,20.01,0,103,2,1,0,0,Call,0.688,High,0,nan,0,0.0,0,0.0
L00060,Referral,33,Female,Student,63776.09,Single,Nova Scotia,Mortgage,3,24.35,2,91,1,0,1,0,Website,0.786,High,1,Mortgage,5791,286.05,2,572.11
L00061,Referral,47,Male,Full-time,105636.72,Single,Ontario,Investment,4,22.44,1,32,1,0,1,0,Call,1.0,High,1,Investment,5339,81.63,47,3836.58
L00062,Referral,39,Female,Self-employed,95007.95,Single,Quebec,Chequing Account,6,16.24,3,95,1,0,1,0,Email,0.861,High,1,Chequing Account,8617,187.66,11,2064.23
L00063,Social Media,31,Male,Student,152962.12,Single,British Columbia,Credit Card,3,21.25,8,24,0,1,0,0,Website,1.0,High,1,Credit Card,2135,53.84,55,2961.1
L00064,Referral,69,Male,Part-time,64964.02,Married,Quebec,Credit Card,0,0.15,3,86,2,0,0,1,Email,0.776,High,1,Credit Card,1166,24.38,41,999.45
L00065,Referral,18,Female,Student,67446.0,Single,Alberta,Mortgage,0,13.87,7,50,1,2,1,1,Website,0.934,High,1,Mortgage,5676,167.1,18,3007.87
L00066,Branch Walk-in,62,Male,Unemployed,56307.87,Single,Ontario,Mortgage,0,23.97,0,47,0,0,0,0,Website,0.706,High,0,nan,0,0.0,0,0.0
L00067,Online Ad,19,Female,Part-time,51889.91,Married,Manitoba,Investment,2,7.92,5,12,0,0,1,1,Email,0.339,Low,0,nan,0,0.0,0,0.0
L00068,Social Media,39,Female,Full-time,81841.73,Single,Quebec,Credit Card,5,11.24,8,50,1,0,0,1,Website,0.71,High,1,Credit Card,2348,164.93,5,824.63
L00069,Online Ad,63,Male,Unemployed,44931.7,Single,Manitoba,Credit Card,1,11.79,9,45,4,1,1,0,Email,0.263,Low,1,Credit Card,8709,164.59,26,4279.22
L00070,Partnership,50,Male,Unemployed,42055.64,Single,Nova Scotia,Investment,2,10.36,3,24,2,0,0,0,Branch,0.458,Medium,0,nan,0,0.0,0,0.0
L00071,Social Media,32,Male,Full-time,79058.53,Single,,Mortgage,4,12.32,8,53,0,0,0,1,Call,0.771,High,1,Mortgage,4821,183.15,15,2747.3
L00072,Online Ad,67,Female,Self-employed,108726.69,Single,British Columbia,Credit Card,3,17.91,1,47,1,0,1,0,Website,0.858,High,1,Credit Card,1814,32.29,22,710.31
L00073,Online Ad,58,Male,Full-time,31584.93,Divorced,Alberta,Credit Card,4,7.86,9,9,0,0,0,0,Branch,0.531,Medium,1,Credit Card,6012,97.48,57,5556.45
L00074,Social Media,39,Male,Student,85857.98,Single,Ontario,Credit Card,2,9.43,8,12,2,1,0,0,Website,0.731,High,1,Credit Card,2022,283.07,8,2264.58
L00075,Social Media,57,Female,Student,,Single,Quebec,Credit Card,5,5.04,5,29,1,0,0,1,Email,0.44,Medium,0,nan,0,0.0,0,0.0
L00076,Social Media,56,Male,Full-time,27785.13,Widowed,Quebec,Mortgage,7,1.47,9,86,1,0,0,0,Call,0.426,Medium,1,Mortgage,3351,201.29,18,3623.19
L00077,Social Media,58,Male,Full-time,61028.95,Married,British Columbia,Chequing Account,4,2.58,0,55,0,0,0,1,Branch,0.645,High,1,Chequing Account,3829,113.28,21,2378.92
L00078,Online Ad,58,Female,Student,99185.5,Single,Quebec,Chequing Account,4,3.72,5,119,2,0,0,1,Call,0.651,High,1,Chequing Account,961,111.13,30,3333.94
L00079,Referral,28,Male,Full-time,92675.98,Single,Alberta,Chequing Account,5,3.51,5,100,0,1,1,1,Call,1.0,High,1,Chequing Account,9857,256.67,13,3336.72
L00080,Online Ad,21,Male,Unemployed,,Married,Quebec,Chequing Account,3,7.64,0,57,0,1,1,0,Call,0.224,Low,0,nan,0,0.0,0,0.0
L00081,Partnership,24,Male,Full-time,75355.39,Married,Quebec,Chequing Account,4,10.16,8,1,2,0,0,1,Email,0.65,High,1,Chequing Account,8799,82.0,48,3936.0
L00082,Branch Walk-in,38,Female,,106072.28,Married,Quebec,Credit Card,7,15.73,2,107,0,0,0,1,Email,0.991,High,1,Credit Card,1155,134.75,29,3907.65
L00083,Referral,24,Male,Full-time,113408.21,Divorced,Ontario,Chequing Account,1,19.69,1,65,1,1,0,1,Branch,1.0,High,1,Chequing Account,4325,266.68,46,12267.19
L00084,Online Ad,21,Male,Full-time,70944.12,Single,Ontario,Mortgage,5,10.39,6,57,1,0,0,0,Email,0.792,High,0,nan,0,0.0,0,0.0
L00085,Referral,29,Male,Self-employed,67110.38,Single,Quebec,Mortgage,3,16.56,2,39,0,0,1,1,Email,0.732,High,1,Mortgage,2739,233.9,27,6315.27
L00086,Referral,44,Other,Full-time,88197.27,Married,Manitoba,Credit Card,3,25.43,7,4,1,0,0,1,Email,1.0,High,1,Credit Card,520,215.11,42,9034.43
L00087,Social Media,34,Male,Part-time,92292.79,Married,Quebec,Chequing Account,4,14.69,0,81,2,1,1,0,Website,0.608,High,1,Chequing Account,5063,119.8,34,4073.27
L00088,Branch Walk-in,37,Male,Student,58128.08,Single,Ontario,Mortgage,3,16.14,8,110,0,0,0,0,Website,0.753,High,0,nan,0,0.0,0,0.0
L00089,Partnership,48,Female,Full-time,76953.14,Married,Ontario,Investment,4,17.39,9,97,0,0,1,1,Email,0.769,High,1,Investment,705,153.43,4,613.71
L00090,Branch Walk-in,43,Male,Unemployed,68969.98,Single,Alberta,Mortgage,3,20.94,9,19,0,0,1,0,Email,0.872,High,1,Mortgage,3549,119.38,56,6685.23
L00091,Online Ad,48,Female,Full-time,92304.68,Married,Ontario,Credit Card,5,29.17,0,33,2,1,1,1,Website,0.801,High,1,Credit Card,5373,236.74,28,6628.63
L00092,Social Media,52,Female,Part-time,62880.17,Single,Ontario,Chequing Account,8,3.26,2,21,2,0,0,1,Email,0.572,Medium,1,Chequing Account,4993,287.83,46,13240.2
L00093,Social Media,26,Male,Part-time,47921.06,Married,Ontario,Mortgage,4,14.18,7,56,0,0,1,0,Email,0.493,Medium,0,nan,0,0.0,0,0.0
L00094,Branch Walk-in,22,Female,Part-time,25540.09,Single,British Columbia,Mortgage,1,7.46,7,77,0,0,0,1,Call,0.661,High,0,nan,0,0.0,0,0.0
L00095,Social Media,69,Male,Student,83945.9,Married,Manitoba,Credit Card,0,13.01,5,18,0,0,1,1,Branch,0.592,Medium,1,Credit Card,4235,233.68,57,13319.77
L00096,Branch Walk-in,65,Male,Self-employed,49884.74,Single,Ontario,Chequing Account,2,26.58,9,15,0,0,0,1,Email,0.803,High,0,nan,0,0.0,0,0.0
L00097,Branch Walk-in,25,Female,Self-employed,68734.86,Divorced,Nova Scotia,Investment,2,15.9,3,11,2,1,0,0,Call,0.849,High,1,Investment,9421,191.19,20,3823.86
L00098,Referral,38,Male,Part-time,74625.84,Single,Ontario,Chequing Account,1,23.45,6,29,1,0,0,0,Email,0.79,High,0,nan,0,0.0,0,0.0
L00099,Online Ad,33,Male,Full-time,59509.61,Single,Ontario,Investment,4,20.58,9,119,2,1,1,0,Call,0.68,High,1,Investment,9424,141.62,5,708.08
L00100,Online Ad,68,Male,Full-time,84614.84,Single,Quebec,Chequing Account,1,12.25,8,29,0,0,0,1,Email,0.777,High,0,nan,0,0.0,0,0.0
L00101,Online Ad,33,Female,Unemployed,138902.01,Married,Ontario,Chequing Account,1,3.75,1,86,0,1,1,1,Website,0.926,High,1,Chequing Account,364,268.62,39,10475.99
L00102,Branch Walk-in,35,Female,Unemployed,117741.57,Single,,Mortgage,3,12.0,5,85,1,0,1,1,Email,1.0,High,1,Mortgage,6845,71.68,12,860.21
L00103,Referral,64,Male,Full-time,49790.69,Single,British Columbia,Credit Card,2,12.63,0,55,2,0,0,0,Call,0.86,High,1,Credit Card,1166,145.32,54,7847.07
L00104,Branch Walk-in,45,Male,Full-time,56363.22,Married,Ontario,Mortgage,4,13.02,5,8,2,0,0,0,Call,0.848,High,1,Mortgage,6942,79.22,58,4594.48
L00105,Partnership,35,Other,Unemployed,53121.82,Single,Quebec,Mortgage,3,14.05,2,60,3,0,0,1,Email,0.419,Medium,0,nan,0,0.0,0,0.0
L00106,Online Ad,31,Female,Part-time,34532.57,Single,British Columbia,Chequing Account,2,11.91,3,116,0,1,0,0,Call,0.386,Medium,0,nan,0,0.0,0,0.0
L00107,Referral,65,Male,Full-time,79811.66,Divorced,Ontario,Mortgage,3,18.53,1,114,0,0,0,0,Email,0.966,High,1,Mortgage,1158,83.36,12,1000.36
L00108,Social Media,54,Female,Part-time,87349.85,Married,Manitoba,Mortgage,7,9.19,9,46,3,0,0,0,Website,0.59,Medium,1,Mortgage,2982,147.0,49,7203.15
L00109,Online Ad,57,Male,Full-time,79665.09,Single,Ontario,Mortgage,6,12.12,0,56,1,0,0,1,Call,0.721,High,1,Mortgage,2767,191.38,7,1339.69
L00110,Online Ad,33,Female,Full-time,80012.53,Divorced,Manitoba,Mortgage,3,3.67,5,117,0,1,1,1,Call,0.549,Medium,0,nan,0,0.0,0,0.0
L00111,Referral,38,Female,Part-time,27698.95,Married,Alberta,Credit Card,4,6.71,9,70,2,0,0,0,Branch,0.637,High,1,Credit Card,9355,135.81,6,814.86
L00112,Online Ad,18,Male,Part-time,29562.11,Married,Ontario,Mortgage,6,21.81,5,117,2,0,0,1,Email,0.36,Medium,0,nan,0,0.0,0,0.0
L00113,Partnership,28,Female,Full-time,90955.81,Single,Ontario,Chequing Account,2,6.82,4,70,0,0,0,1,Call,0.83,High,1,Chequing Account,1775,109.79,17,1866.51
L00114,Social Media,28,Female,Self-employed,72395.39,Married,Ontario,Chequing Account,0,5.62,4,58,1,0,1,0,Email,0.679,High,0,nan,0,0.0,0,0.0
L00115,Branch Walk-in,19,Female,Full-time,97329.56,Married,Alberta,Credit Card,1,10.23,9,70,1,0,0,1,Email,1.0,High,1,Credit Card,1356,159.24,49,7802.66
L00116,Partnership,49,Male,Student,50648.94,Single,British Columbia,Credit Card,7,22.47,0,59,1,0,1,1,Website,0.514,Medium,1,Credit Card,3264,213.44,20,4268.9
L00117,Social Media,36,Female,Full-time,67199.06,Single,Ontario,Mortgage,5,1.4,6,25,1,0,1,1,Email,0.692,High,1,Mortgage,7974,167.58,1,167.58
L00118,Online Ad,22,Male,Full-time,62239.43,Single,Ontario,Mortgage,3,24.31,8,9,2,0,0,1,Call,0.721,High,1,Mortgage,9941,250.2,57,14261.52
L00119,Partnership,20,Male,Unemployed,114901.67,Widowed,Quebec,Chequing Account,2,23.12,3,70,1,1,0,0,Website,0.629,High,1,Chequing Account,7498,22.04,2,44.09
L00120,Branch Walk-in,45,Male,Unemployed,115193.09,Married,Ontario,Mortgage,4,8.72,3,47,0,0,1,0,Email,1.0,High,1,Mortgage,2782,247.71,52,12880.7
L00121,Social Media,43,Female,Full-time,49105.47,Married,British Columbia,Chequing Account,4,6.79,6,1,1,0,1,1,Website,0.534,Medium,1,Chequing Account,2730,195.31,42,8202.84
L00122,Partnership,40,Male,Full-time,78687.2,Single,Manitoba,Mortgage,2,7.96,4,81,0,0,0,1,Website,0.675,High,1,Mortgage,9984,149.91,2,299.82
L00123,Referral,47,Female,Full-time,95507.1,Single,Quebec,Credit Card,1,10.31,4,36,1,1,0,0,Email,0.959,High,1,Credit Card,5473,69.95,21,1468.93
L00124,Online Ad,25,Male,Unemployed,99739.53,Married,Manitoba,Mortgage,3,23.25,8,6,2,0,0,0,Branch,0.608,High,1,Mortgage,5123,84.46,54,4560.59
L00125,Online Ad,53,Female,Student,55290.5,Single,Ontario,Mortgage,6,15.92,8,41,0,0,1,0,Website,0.464,Medium,0,nan,0,0.0,0,0.0
L00126,Referral,46,Male,Part-time,84620.83,Married,Ontario,Credit Card,5,9.02,2,2,0,0,0,0,Email,0.902,High,1,Credit Card,2319,170.72,23,3926.67
L00127,Social Media,30,Male,Student,78401.64,Divorced,Ontario,Credit Card,4,21.24,7,102,2,0,0,0,Email,0.579,Medium,1,Credit Card,3273,263.38,18,4740.9
L00128,Partnership,42,Female,Self-employed,72688.35,Married,Ontario,Credit Card,8,15.5,2,111,1,0,0,1,Website,0.628,High,0,nan,0,0.0,0,0.0
L00129,Online Ad,39,Female,Full-time,15000.0,Divorced,Ontario,Mortgage,3,9.89,2,49,1,0,0,1,Website,0.383,Medium,0,nan,0,0.0,0,0.0
L00130,Branch Walk-in,63,Male,Full-time,61162.31,Married,British Columbia,Credit Card,6,17.84,5,52,0,1,0,0,Email,0.887,High,1,Credit Card,7915,81.29,53,4308.43
L00131,Referral,50,Female,Full-time,65297.32,Single,Manitoba,Credit Card,1,17.67,3,82,0,0,0,0,Branch,0.876,High,0,nan,0,0.0,0,0.0
L00132,Online Ad,54,Male,Full-time,92620.79,Single,Quebec,Credit Card,2,27.01,1,45,4,0,1,0,Email,0.68,High,1,Credit Card,2453,268.01,27,7236.21
L00133,Online Ad,24,Female,Full-time,69335.36,Married,British Columbia,Chequing Account,3,22.58,1,50,1,0,0,0,Email,0.727,High,1,Chequing Account,5241,255.42,25,6385.62
L00134,Referral,40,Male,Part-time,106573.19,Married,Ontario,Investment,5,15.83,9,104,1,1,0,1,Website,1.0,High,1,Investment,3377,142.97,53,7577.35
L00135,Partnership,23,Male,Self-employed,37593.43,Single,Alberta,Chequing Account,1,27.53,1,1,0,1,1,0,Branch,0.418,Medium,1,Chequing Account,7170,32.28,3,96.85
L00136,Referral,32,Female,Full-time,108625.08,Single,Ontario,Credit Card,6,12.25,7,15,0,1,1,1,Website,1.0,High,1,Credit Card,1668,125.67,46,5780.83
L00137,Branch Walk-in,32,Male,Student,58901.21,Married,Ontario,Investment,0,24.01,2,36,4,0,1,0,Website,0.835,High,1,Investment,8834,236.02,58,13689.38
L00138,Social Media,57,Female,Student,59688.66,Single,Quebec,Mortgage,0,18.42,6,33,3,0,1,0,Call,0.401,Medium,1,Mortgage,3996,237.02,15,3555.32
L00139,Referral,51,Male,Unemployed,67088.16,Married,Ontario,Chequing Account,3,6.39,7,81,0,0,0,0,Email,0.793,High,1,Chequing Account,261,179.59,23,4130.67
L00140,Partnership,31,Male,Full-time,33399.07,Single,Manitoba,Chequing Account,4,16.0,8,35,0,1,0,1,Email,0.408,Medium,1,Chequing Account,2305,290.08,50,14503.97
L00141,Partnership,46,Female,Part-time,77282.78,Single,Quebec,Credit Card,4,22.4,4,110,0,0,0,0,Website,0.624,High,1,Credit Card,6131,144.47,52,7512.39
L00142,Referral,33,Male,Full-time,146120.45,Married,Ontario,Chequing Account,5,11.79,1,9,2,1,0,1,Call,1.0,High,1,Chequing Account,2004,21.99,55,1209.49
L00143,Branch Walk-in,46,Male,Student,49841.6,Married,Ontario,Mortgage,6,11.96,7,11,2,0,0,0,Call,0.765,High,1,Mortgage,1385,106.77,51,5445.08
L00144,Referral,40,Male,Full-time,62826.34,Married,,Mortgage,6,18.68,5,102,1,0,0,0,Website,0.878,High,1,Mortgage,3731,216.28,32,6920.99
L00145,Referral,27,Male,Full-time,89802.54,Single,,Investment,3,21.07,9,26,1,0,0,0,Email,1.0,High,1,Investment,8610,180.29,44,7932.97
L00146,Online Ad,64,Male,Part-time,72857.01,Single,Manitoba,Chequing Account,0,16.05,6,49,0,0,0,0,Call,0.488,Medium,1,Chequing Account,5854,106.06,21,2227.2
L00147,Branch Walk-in,21,Female,Full-time,100385.55,Single,British Columbia,Chequing Account,3,19.79,3,43,2,0,0,0,Email,1.0,High,1,Chequing Account,7204,235.26,42,9880.86
L00148,Branch Walk-in,29,Male,Full-time,35635.59,Divorced,Quebec,Mortgage,4,28.0,4,19,1,0,0,1,Email,0.648,High,0,nan,0,0.0,0,0.0
L00149,Online Ad,59,Female,Student,45032.34,Married,Ontario,Chequing Account,4,13.54,8,14,1,2,0,1,Call,0.492,Medium,0,nan,0,0.0,0,0.0
L00150,Referral,51,Male,Unemployed,80993.81,Married,Quebec,Credit Card,2,9.43,9,2,2,0,0,0,Call,0.899,High,0,nan,0,0.0,0,0.0
L00151,Partnership,21,Female,Full-time,15000.0,Single,Ontario,Chequing Account,1,12.78,3,89,2,0,0,0,Website,0.486,Medium,1,Chequing Account,7075,194.96,1,194.96
L00152,Online Ad,37,Male,Part-time,40365.49,Single,Quebec,Credit Card,3,22.37,9,95,1,0,0,0,Email,0.344,Low,1,Credit Card,1231,67.6,24,1622.52
L00153,Online Ad,45,Male,Student,26921.91,Married,Ontario,Chequing Account,2,22.92,3,82,0,0,0,0,Branch,0.452,Medium,0,nan,0,0.0,0,0.0
L00154,Branch Walk-in,45,Male,Full-time,76553.03,Married,Manitoba,Mortgage,5,10.38,6,11,1,3,0,1,Call,0.751,High,1,Mortgage,1381,120.03,46,5521.61
L00155,Partnership,23,Male,Full-time,62182.51,Single,British Columbia,Chequing Account,3,3.03,7,5,1,0,0,0,Email,0.666,High,0,nan,0,0.0,0,0.0
