AgeGroup,IncomeBracket,InitialProductInterest,ConversionProbability,Predicted_CLTV
Senior (50+),40K-80K,Chequing Account,0.765,-412.3196006434782
Young (<30),40K-80K,Chequing Account,0.575,0.0
Senior (50+),<40K,Investment,0.399,0.0
Young (<30),40K-80K,Investment,0.8,3604.4893020577947
Mid-Age (30–50),80K-120K,Chequing Account,0.745,4709.358697404941
Young (<30),80K-120K,Investment,0.885,-4823.686831492255
Senior (50+),80K-120K,Credit Card,0.953,8156.341422420019
Young (<30),40K-80K,Chequing Account,1.0,9760.022640239047
Senior (50+),80K-120K,Investment,1.0,6064.539326591595
Senior (50+),40K-80K,Mortgage,0.703,6566.701845549493
Mid-Age (30–50),40K-80K,Investment,0.327,0.0
Senior (50+),80K-120K,Investment,0.781,-4781.407939304571
Mid-Age (30–50),80K-120K,Credit Card,1.0,5639.735119994615
Young (<30),80K-120K,Chequing Account,0.731,7567.526254982571
Mid-Age (30–50),40K-80K,Credit Card,0.698,0.0
Senior (50+),80K-120K,Chequing Account,0.822,11101.528936894752
Mid-Age (30–50),<40K,Credit Card,0.3,0.0
Mid-Age (30–50),80K-120K,Chequing Account,0.759,3747.5897228001686
Senior (50+),40K-80K,Mortgage,0.573,3162.52732876106
Senior (50+),80K-120K,Chequing Account,1.0,562.8437579395959
Mid-Age (30–50),40K-80K,Mortgage,0.612,0.0
Mid-Age (30–50),40K-80K,Mortgage,0.71,0.0
Young (<30),40K-80K,Investment,0.9,5175.815946614359
Senior (50+),<40K,Credit Card,0.551,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.629,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.527,0.0
Senior (50+),40K-80K,Chequing Account,0.802,0.0
Young (<30),120K–200K,Credit Card,1.0,1118.777243584741
Senior (50+),40K-80K,Investment,0.593,0.0
Young (<30),40K-80K,Investment,0.826,0.0
Young (<30),80K-120K,Credit Card,0.829,11801.620244702808
Mid-Age (30–50),80K-120K,Credit Card,1.0,-319.26611001205674
Mid-Age (30–50),40K-80K,Chequing Account,0.55,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.841,6449.830458338061
Mid-Age (30–50),80K-120K,Mortgage,0.947,6281.721794273339
Senior (50+),80K-120K,Investment,0.765,2138.8927154361472
Senior (50+),120K–200K,Credit Card,0.998,3568.356462973181
Senior (50+),<40K,Credit Card,0.257,3880.9752529096786
Senior (50+),80K-120K,Investment,0.757,7542.369879711943
Mid-Age (30–50),80K-120K,Chequing Account,0.928,7625.490005081641
Senior (50+),40K-80K,Investment,0.55,4735.349015219943
Senior (50+),80K-120K,Credit Card,0.64,-1616.5434237244726
Senior (50+),40K-80K,Chequing Account,0.756,770.0288494130864
Senior (50+),80K-120K,Mortgage,0.712,7069.640782135277
Mid-Age (30–50),40K-80K,Chequing Account,1.0,-2434.280659100507
Mid-Age (30–50),40K-80K,Chequing Account,0.827,4656.121542593375
Young (<30),40K-80K,Credit Card,0.528,0.0
Mid-Age (30–50),40K-80K,Investment,0.545,0.0
Young (<30),80K-120K,Chequing Account,0.932,7407.119961128099
Senior (50+),40K-80K,Chequing Account,0.548,0.0
Senior (50+),40K-80K,Mortgage,0.838,-1797.2646952123405
Mid-Age (30–50),80K-120K,Credit Card,0.836,3827.223564886419
Young (<30),80K-120K,Mortgage,0.593,6982.640759606415
Mid-Age (30–50),40K-80K,Credit Card,0.982,12968.60837406732
Mid-Age (30–50),40K-80K,Credit Card,0.628,0.0
Senior (50+),80K-120K,Credit Card,0.709,-1754.8395457757747
Mid-Age (30–50),40K-80K,Mortgage,0.612,3865.6244359216016
Mid-Age (30–50),<40K,Credit Card,0.701,8903.266835293032
Mid-Age (30–50),40K-80K,Mortgage,1.0,-1992.9317502447407
Mid-Age (30–50),80K-120K,Credit Card,0.808,-651.2033375729475
Young (<30),80K-120K,Mortgage,1.0,797.6267823155076
Mid-Age (30–50),80K-120K,Credit Card,0.799,11423.953228969642
Young (<30),120K–200K,Credit Card,1.0,4219.358779256419
Senior (50+),40K-80K,Credit Card,0.922,3210.514347845101
Senior (50+),40K-80K,Mortgage,0.886,5631.839393703576
Young (<30),<40K,Mortgage,0.8,0.0
Young (<30),40K-80K,Chequing Account,0.539,3991.908679107919
Young (<30),<40K,Chequing Account,0.361,0.0
Mid-Age (30–50),80K-120K,Chequing Account,0.785,2737.9222001757234
Young (<30),40K-80K,Credit Card,0.926,9867.14873844797
Senior (50+),40K-80K,Investment,0.748,5144.029267917336
Senior (50+),80K-120K,Investment,0.998,5957.577032608726
Young (<30),40K-80K,Credit Card,0.645,11837.286067940815
Mid-Age (30–50),40K-80K,Chequing Account,0.643,0.0
Young (<30),40K-80K,Chequing Account,0.941,-1697.1062178544157
Young (<30),80K-120K,Chequing Account,0.609,0.0
Mid-Age (30–50),80K-120K,Credit Card,0.725,0.0
Mid-Age (30–50),120K–200K,Investment,1.0,6046.728564410847
Mid-Age (30–50),40K-80K,Chequing Account,0.718,9259.77178203045
Young (<30),80K-120K,Chequing Account,0.868,6120.660753045147
Mid-Age (30–50),40K-80K,Chequing Account,0.389,8909.493846529778
Mid-Age (30–50),40K-80K,Mortgage,0.659,-3610.0361699277664
Young (<30),40K-80K,Credit Card,0.877,-982.8042460529873
Senior (50+),40K-80K,Credit Card,0.874,-1808.5957448164581
Senior (50+),40K-80K,Credit Card,0.461,708.0258129249187
Mid-Age (30–50),40K-80K,Mortgage,0.77,0.0
Mid-Age (30–50),80K-120K,Mortgage,0.955,-1162.488068799863
Senior (50+),80K-120K,Credit Card,0.682,0.0
Senior (50+),120K–200K,Mortgage,0.944,1904.261402435609
Mid-Age (30–50),80K-120K,Chequing Account,0.601,0.0
Young (<30),80K-120K,Investment,0.783,4390.317957856281
Mid-Age (30–50),40K-80K,Investment,0.764,13391.622648086362
Mid-Age (30–50),80K-120K,Credit Card,0.923,6381.486552627985
Senior (50+),40K-80K,Investment,0.615,0.0
Mid-Age (30–50),80K-120K,Chequing Account,0.825,0.0
Young (<30),80K-120K,Chequing Account,0.806,8705.76082179796
Mid-Age (30–50),80K-120K,Mortgage,0.764,0.0
Young (<30),40K-80K,Credit Card,0.546,0.0
Senior (50+),40K-80K,Mortgage,0.855,4659.543205369411
Senior (50+),<40K,Credit Card,0.621,0.0
Senior (50+),40K-80K,Credit Card,0.487,0.0
Mid-Age (30–50),40K-80K,Mortgage,0.406,5979.416728169974
Mid-Age (30–50),40K-80K,Mortgage,0.802,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.896,3695.9847721939204
Mid-Age (30–50),120K–200K,Credit Card,1.0,12776.189418329628
Senior (50+),80K-120K,Mortgage,0.826,6789.631613048652
Senior (50+),80K-120K,Credit Card,0.975,6362.106752789505
Senior (50+),40K-80K,Chequing Account,0.556,5175.456854504771
Young (<30),40K-80K,Credit Card,0.699,0.0
Young (<30),40K-80K,Credit Card,0.527,0.0
Young (<30),40K-80K,Credit Card,0.545,0.0
Senior (50+),40K-80K,Chequing Account,0.571,0.0
Mid-Age (30–50),80K-120K,Mortgage,0.497,0.0
Senior (50+),80K-120K,Mortgage,0.812,9682.82059529333
Mid-Age (30–50),40K-80K,Chequing Account,0.888,0.0
Mid-Age (30–50),<40K,Investment,0.328,3043.9122937434067
Mid-Age (30–50),40K-80K,Investment,0.859,7317.932437370164
Mid-Age (30–50),40K-80K,Investment,0.818,4846.22035454164
Young (<30),40K-80K,Chequing Account,0.357,0.0
Mid-Age (30–50),40K-80K,Investment,0.721,187.20874228247703
Senior (50+),80K-120K,Credit Card,1.0,9395.976612717684
Senior (50+),40K-80K,Chequing Account,0.935,1813.2327888704804
Senior (50+),80K-120K,Credit Card,0.945,2923.9171971454025
Senior (50+),40K-80K,Chequing Account,0.461,0.0
Young (<30),80K-120K,Credit Card,1.0,8230.054025643332
Senior (50+),<40K,Chequing Account,0.828,-1061.9477009525976
Senior (50+),80K-120K,Credit Card,0.988,10163.346204066225
Mid-Age (30–50),40K-80K,Credit Card,0.514,0.0
Senior (50+),80K-120K,Mortgage,1.0,9336.505109141768
Mid-Age (30–50),40K-80K,Credit Card,0.526,0.0
Senior (50+),80K-120K,Credit Card,0.752,8729.21678844929
Mid-Age (30–50),40K-80K,Credit Card,0.846,11283.463433025567
Mid-Age (30–50),80K-120K,Credit Card,0.592,0.0
Young (<30),40K-80K,Investment,1.0,2611.1380962030607
Senior (50+),<40K,Investment,0.374,1351.8312167335425
Young (<30),80K-120K,Credit Card,1.0,3232.434849190354
Young (<30),40K-80K,Credit Card,0.775,4595.787172644899
Mid-Age (30–50),80K-120K,Credit Card,0.992,10574.210676224135
Young (<30),80K-120K,Investment,0.908,5168.758897253911
Senior (50+),80K-120K,Credit Card,0.905,10603.442527603864
Senior (50+),40K-80K,Credit Card,0.733,794.2258579028403
Senior (50+),80K-120K,Credit Card,0.827,6301.5261022943905
Senior (50+),80K-120K,Chequing Account,0.721,5244.009682868653
Mid-Age (30–50),80K-120K,Credit Card,0.757,-603.1046828924741
Young (<30),80K-120K,Chequing Account,0.892,-147.34022081649437
Mid-Age (30–50),80K-120K,Credit Card,0.758,6918.525109924096
Mid-Age (30–50),40K-80K,Chequing Account,0.652,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.656,4377.779777620817
Young (<30),40K-80K,Credit Card,0.632,0.0
Young (<30),80K-120K,Chequing Account,1.0,12471.893481381681
Mid-Age (30–50),40K-80K,Mortgage,0.571,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.801,6345.529140172617
Mid-Age (30–50),40K-80K,Chequing Account,0.64,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.522,2359.504234948674
Young (<30),40K-80K,Chequing Account,0.665,7868.805197801221
Mid-Age (30–50),40K-80K,Chequing Account,0.757,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.782,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.942,4440.674350287811
Mid-Age (30–50),40K-80K,Chequing Account,0.668,5773.628075683677
Young (<30),40K-80K,Credit Card,0.574,9984.49034546511
Mid-Age (30–50),80K-120K,Mortgage,0.696,0.0
Senior (50+),<40K,Investment,0.531,0.0
Young (<30),40K-80K,Investment,0.865,6778.028392353224
Senior (50+),80K-120K,Mortgage,0.94,4898.691737713565
Young (<30),40K-80K,Mortgage,0.62,0.0
Mid-Age (30–50),80K-120K,Credit Card,0.813,0.0
Young (<30),<40K,Mortgage,0.314,0.0
Mid-Age (30–50),<40K,Investment,0.796,0.0
Young (<30),40K-80K,Investment,0.65,0.0
Mid-Age (30–50),40K-80K,Mortgage,0.567,0.0
Young (<30),80K-120K,Mortgage,0.935,564.3985992638054
Mid-Age (30–50),80K-120K,Chequing Account,0.761,12786.86918169494
Mid-Age (30–50),120K–200K,Investment,0.825,0.0
Young (<30),80K-120K,Mortgage,1.0,9524.808780590742
Young (<30),40K-80K,Credit Card,0.553,-114.49092976411885
Senior (50+),80K-120K,Chequing Account,0.647,10407.947186828225
Senior (50+),40K-80K,Chequing Account,0.638,3045.7391900906796
Mid-Age (30–50),40K-80K,Chequing Account,0.379,0.0
Young (<30),80K-120K,Credit Card,0.984,-778.5000636193745
Mid-Age (30–50),80K-120K,Investment,0.631,8231.325826817592
Mid-Age (30–50),40K-80K,Chequing Account,0.743,0.0
Mid-Age (30–50),80K-120K,Credit Card,0.76,4709.841808397809
Mid-Age (30–50),40K-80K,Chequing Account,0.702,3090.0380784713725
Senior (50+),120K–200K,Investment,0.854,818.7151204558477
Senior (50+),40K-80K,Mortgage,0.55,0.0
Mid-Age (30–50),<40K,Chequing Account,0.398,0.0
Senior (50+),120K–200K,Chequing Account,1.0,5770.313154566333
Senior (50+),80K-120K,Credit Card,0.814,2633.7571004159654
Senior (50+),80K-120K,Credit Card,0.654,0.0
Senior (50+),<40K,Mortgage,0.736,8241.570689717555
Senior (50+),<40K,Credit Card,0.571,0.0
Young (<30),80K-120K,Chequing Account,1.0,7024.814531382177
Senior (50+),80K-120K,Mortgage,0.985,1049.7244793163836
Senior (50+),<40K,Mortgage,0.662,10524.185086998114
Mid-Age (30–50),80K-120K,Credit Card,1.0,6958.728447436479
Mid-Age (30–50),40K-80K,Chequing Account,0.575,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.394,0.0
Young (<30),40K-80K,Mortgage,0.511,0.0
Young (<30),120K–200K,Credit Card,0.967,6453.705656663253
Young (<30),40K-80K,Chequing Account,0.802,0.0
Mid-Age (30–50),<40K,Chequing Account,0.403,0.0
Senior (50+),40K-80K,Investment,0.889,0.0
Young (<30),<40K,Chequing Account,0.515,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.623,1977.6916742062667
Senior (50+),<40K,Credit Card,0.731,7845.575778746599
Senior (50+),40K-80K,Credit Card,0.523,10829.326185704105
Senior (50+),80K-120K,Credit Card,0.682,2245.5212581189635
Young (<30),<40K,Investment,0.571,0.0
Mid-Age (30–50),40K-80K,Credit Card,0.727,3478.5389618138543
Senior (50+),80K-120K,Mortgage,0.97,-4793.185166749806
Young (<30),40K-80K,Chequing Account,0.683,6067.517180406001
Mid-Age (30–50),80K-120K,Chequing Account,0.51,0.0
Senior (50+),80K-120K,Credit Card,0.834,0.0
Young (<30),40K-80K,Chequing Account,0.66,5445.843474013958
Senior (50+),80K-120K,Credit Card,0.775,6852.1930971282345
Mid-Age (30–50),80K-120K,Investment,0.53,0.0
Mid-Age (30–50),40K-80K,Chequing Account,0.534,5231.048601181665
Senior (50+),80K-120K,Credit Card,0.667,0.0
Mid-Age (30–50),<40K,Credit Card,0.613,0.0
Mid-Age (30–50),<40K,Credit Card,0.64,8331.049676890276
Senior (50+),80K-120K,Investment,0.748,3630.868858079659
Mid-Age (30–50),40K-80K,Chequing Account,0.644,0.0
